"Alipay Payment by Alipaymate.com","Alipay Payment by Alipaymate.com"
"Alipay","Alipay"
"Alipay Payment","Alipay Payment"
"Redirect to Alipay","Redirect to Alipay"
"You will be redirected to the Alipay website in a few seconds ...","You will be redirected to the Alipay website in a few seconds ..."
"Order status: waitting for pay","Order status: waitting for pay"
"Order status: payment successful","Order status: payment successful"
"Order status: shipped","Order status: shipped"
"Order status: finished","Order status: finished"
"Order status: closed","Order status: closed"
"Create Direct Pay By User","Ji Shi Dao Zhang"
"Create Partner Trade By Buyer","Dan Bao Jiao Yi"
"Prompt Arrival","Prompt Arrival"
"Secured Transactions","Secured Transactions"
"Dual Functions","Dual Functions"
"Debug","Debug"
"Service Type","Service Type"
"Partner ID","Partner ID"
"Security Key","Security Key"
"16 digits Partner ID.","16 digits Partner ID."
"Should be 32 characters.","Should be 32 characters."
"Sorry, Alipay payment failed, Please contact us!","Sorry, Alipay payment failed, Please contact us!"
"Payment to applicable countries","Payment to applicable countries"
"Payment to Specific countries","Payment to Specific countries"
"Sort order","Sort order"
"Enabled","Enabled"
"Title","Title"
"Your Payment was successful!","Your Payment was successful!"
